rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B0FMDL81GS,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black",OnePlus,1599.0,INR,4.2,40900,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/51nBTTG3hNL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/OnePlus-Playback-Translation-Dual-Device-Connectivity/dp/B0FMDL81GS/ref=zg_bs_g_electronics_d_sccl_1/522-0161304-3267341?psc=1,2026-03-24T12:39:39.973611,1,29,True,mid,high
2,B082LSVT4B,"Ambrane Unbreakable 60W Fast Charging 1.5M Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Ambrane,129.0,INR,4.0,88322,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/71MhtZF5NWL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=zg_bs_g_electronics_d_sccl_2/522-0161304-3267341?psc=1,2026-03-24T12:39:39.975510,1,29,True,budget,high
3,B0F7Y54PJX,"Boat 2025 Launch Rockerz 113, 40H Battery, Dual Pair, Fast Charge, ENx Tech, Stream Ad Free Music via App Support, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones (Active Black)",Boat,699.0,INR,4.0,8051,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61B5hIAmvdL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/boAt-Rockerz-Magnetic-Bluetooth-Earphones/dp/B0F7Y54PJX/ref=zg_bs_g_electronics_d_sccl_3/522-0161304-3267341?psc=1,2026-03-24T12:39:39.976716,1,32,True,mid,high
4,B0GN1NNYXF,"Samsung Galaxy M17e 5G Mobile (Vibe Violet, 6GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger",Samsung,13499.0,INR,,,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/717m3kkQM1L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Samsung-Storage-Smoothest-Refresh-Upgrades/dp/B0GN1NNYXF/ref=zg_bs_g_electronics_d_sccl_4/522-0161304-3267341?psc=1,2026-03-24T12:39:39.979842,1,36,True,premium,
5,B0GHWBW56P,"realme NARZO 90x 5G (Marine Blue,4GB+128GB) |7000mAh + 60W Biggest Battery & Fastest Charging in The Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker",realme,12999.0,INR,4.3,636,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/81CBZ-ImQgL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/realme-7000mAh-Biggest-Battery-Charging/dp/B0GHWBW56P/ref=zg_bs_g_electronics_d_sccl_5/522-0161304-3267341?psc=1,2026-03-24T12:39:39.981946,1,35,True,premium,medium
6,B0FBRGKXHG,"OnePlus Bullets Wireless Z3 in-Ear Neckband with 12.4mm Drivers, 3D Spatial Audio,10 mins Charge for 27 hrs Playback, 4 EQ preset, Dynamic bass Enhancement & BT5.4",OnePlus,1499.0,INR,4.1,225970,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/51vT4GzBObL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/OnePlus-Wireless-Neckband-Playback-Enhancement/dp/B0FBRGKXHG/ref=zg_bs_g_electronics_d_sccl_6/522-0161304-3267341?psc=1,2026-03-24T12:39:39.984068,1,26,True,mid,high
7,B0GP8XTH7K,"iQOO Z11x 5G (Prismatic Green, 8GB RAM, 256 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery Smartphone | Powered by OriginOS 6",iQOO,22998.0,INR,,,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61HBOs7MdQL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/iQOO-Prismatic-Dimensity-7400-Turbo-Smartphone/dp/B0GP8XTH7K/ref=zg_bs_g_electronics_d_sccl_7/522-0161304-3267341?psc=1,2026-03-24T12:39:39.986470,1,24,True,premium,
8,B0DDHM6D3L,"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",Portronics,264.0,INR,4.1,7199,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/51GGwjwSr0L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Portronics-Earphones-Powerful-Controls-Compatibility/dp/B0DDHM6D3L/ref=zg_bs_g_electronics_d_sccl_8/522-0161304-3267341?psc=1,2026-03-24T12:39:39.988399,1,31,True,budget,high
9,B0D2R2MXXJ,"Samsung Original 25W USB Type-C Travel Adaptor Without Cable for Google Pixel, Xiaomi, Motorola, iPhone, Samsung Galaxy Tab S/A Series, Galaxy S10/M54/M55/A80/A90/S25/S24, White",Samsung,759.0,INR,4.4,18551,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/512UVkoMMEL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Samsung-Original-Type-C-Adaptor-without/dp/B0D2R2MXXJ/ref=zg_bs_g_electronics_d_sccl_9/522-0161304-3267341?psc=1,2026-03-24T12:39:39.990435,1,23,True,mid,high
10,B0DFQ1R3W4,"OnePlus Nord Buds 3 Truly Wireless Bluetooth Earbuds with up to 32dB Active Noise Cancellation, 10mins for 11Hours Fast Charging with Up to 43h Music Playback -Harmonic Gray",OnePlus,2099.0,INR,4.3,18110,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/519DDBTBbzL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/OnePlus-Wireless-Bluetooth-Cancellation-Harmonic/dp/B0DFQ1R3W4/ref=zg_bs_g_electronics_d_sccl_10/522-0161304-3267341?psc=1,2026-03-24T12:39:39.991641,1,28,True,premium,high
11,B0F7KPSSLB,"YATWIN Silicone Back Case for Google Pixel 9A, Soft-Touch Phone Back Cover for Google Pixel 9A - Black",YATWIN,299.0,INR,4.1,3373,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/51DEZIHX9YL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/YATWIN-Google-Pixel-9A-Soft-Touch/dp/B0F7KPSSLB/ref=zg_bs_g_electronics_d_sccl_11/522-0161304-3267341?psc=1,2026-03-24T12:39:39.992796,1,18,True,budget,high
12,B0FCMLCX46,OnePlus Nord CE5 | MediaTek Dimensity | Massive 7100mAh Battery | Powered by OnePlus AI | 128GB 8GB | Black Infinity,OnePlus,24996.0,INR,4.4,5116,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61IOa9IrlaL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/OnePlus-Massive-MediaTek-Dimensity-Infinity/dp/B0FCMLCX46/ref=zg_bs_g_electronics_d_sccl_12/522-0161304-3267341?psc=1,2026-03-24T12:39:39.994879,1,21,True,premium,high
13,B0DX655V11,"Samsung Galaxy M06 5G Mobile (Sage Green, 6GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Samsung,11999.0,INR,4.0,7005,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/71evPv-TvmL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX655V11/ref=zg_bs_g_electronics_d_sccl_13/522-0161304-3267341?psc=1,2026-03-24T12:39:39.997045,1,37,True,premium,high
14,B0C9X26H4Q,SupCares Tempered Glass for Samsung Galaxy S24 Ultra (6.8 Inch) With Installation Kit | Military-Grade Gorilla Screen Protector | Edge to Edge Coverage | Black,SupCares,292.0,INR,4.0,30291,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61tBr4LvUiL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/SupCares-Tempered-Samsung-Galaxy-Installation/dp/B0C9X26H4Q/ref=zg_bs_g_electronics_d_sccl_14/522-0161304-3267341?psc=1,2026-03-24T12:39:39.999064,1,25,True,budget,high
15,B08TV2P1N8,"Boat Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Neckband, Wireless with Mic Earphones (Active Black)",Boat,1001.0,INR,4.0,147783,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61+SW9nDTEL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=zg_bs_g_electronics_d_sccl_15/522-0161304-3267341?psc=1,2026-03-24T12:39:40.001518,1,25,True,mid,high
16,B097JJ2CK6,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",Safari,619.0,INR,4.1,14952,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/71maWXZscfL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JJ2CK6/ref=zg_bs_g_electronics_d_sccl_16/522-0161304-3267341?psc=1,2026-03-24T12:39:40.003584,1,18,True,mid,high
17,B071Z8M4KX,Boat BassHeads 100 in-Ear Headphones with Mic (Black),Boat,399.0,INR,4.1,433117,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/513ugd16C6L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=zg_bs_g_electronics_d_sccl_17/522-0161304-3267341?psc=1,2026-03-24T12:39:40.005624,1,8,True,budget,high
18,B0BF57RN3K,"Fire-Boltt Ninja Call Pro Plus Bluetooth Calling Smart Watch, 1.83″ HD Display, AI Voice Assistant, 120+ Sports Modes, IP67 Waterproof, SpO2 & Heart Rate Monitor Smartwatch for Men & Women - Black",Fire-Boltt,1199.0,INR,,,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61rmkmqD5VL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Fire-Boltt-Bluetooth-Calling-Assistance-Resolution/dp/B0BF57RN3K/ref=zg_bs_g_electronics_d_sccl_18/522-0161304-3267341?psc=1,2026-03-24T12:39:40.007130,1,32,True,mid,
19,B0BJ72WZQ7,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",Noise,1299.0,INR,4.0,52519,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61-vRq2ulOL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Noise-Launched-Bluetooth-Calling-Tracking/dp/B0BJ72WZQ7/ref=zg_bs_g_electronics_d_sccl_19/522-0161304-3267341?psc=1,2026-03-24T12:39:40.008307,1,27,True,mid,high
20,B0FN89KT94,"TheGiftKart Ultra-Hybrid Crystal Clear Back Case Cover for iPhone 17 | Shockproof Design | Hard Back Cover Case for iPhone 17 (PC & TPU, Transparent)",TheGiftKart,277.0,INR,4.2,18759,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/51vTuExAndL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/TheGiftKart-Ultra-Hybrid-iPhone-17-Transparent/dp/B0FN89KT94/ref=zg_bs_g_electronics_d_sccl_20/522-0161304-3267341?psc=1,2026-03-24T12:39:40.009462,1,25,True,budget,high
21,B0FCY5MVZ6,"OpenTech® Privacy Military-Grade Gorilla Tempered Glass Screen Protector for Samsung Galaxy S24 Ultra with Edge to Edge Coverage - Case Friendly, Anti-scratch and Bubble free installation kit",OpenTech®,299.0,INR,4.0,66898,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/616jPLgPUjL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Privacy-Samsung-S24-Ultra-Installation/dp/B0FCY5MVZ6/ref=zg_bs_g_electronics_d_sccl_21/522-0161304-3267341?psc=1,2026-03-24T12:39:40.011033,1,27,True,budget,high
22,B0DBGP48NW,"realme Buds T310 True Wireless in-Ear Earbuds with 46dB Hybrid ANC, 360° Spatial Audio, 12.4mm Dynamic Bass Driver, Upto 40Hrs Battery and Fast Charging (Vibrant Black)",realme,1899.0,INR,4.2,18814,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61dj32WdrxL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/realme-Wireless-Earbuds-Spatial-Charging/dp/B0DBGP48NW/ref=zg_bs_g_electronics_d_sccl_22/522-0161304-3267341?psc=1,2026-03-24T12:39:40.012451,1,26,True,mid,high
23,B0DCZ3WDTB,"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD |Smart 12 Layer Protection|Type C Input & Output|Triple Output Ports|Supports Android,Apple, Tablets, Earbuds,Watch(MI Powerbank),Black",Xiaomi,2199.0,INR,4.2,108446,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/41vBAaU8clL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Xiaomi-20000mAh-Charging-Delivery-Supports/dp/B0DCZ3WDTB/ref=zg_bs_g_electronics_d_sccl_23/522-0161304-3267341?psc=1,2026-03-24T12:39:40.013607,1,24,True,premium,high
24,B0DZCRYG7R,"realme Buds T200 Lite Bluetooth in Ear Earbuds,4 Mic, AI ENC for Calls,48 Hours Total Playback with Fast Charging and Low Latency Gaming TWS,Google Fast Pair, with mic (Volt Black)",realme,1199.0,INR,4.1,31596,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61MOG3nzwQL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/realme-Bluetooth-Earbuds-Playback-Charging/dp/B0DZCRYG7R/ref=zg_bs_g_electronics_d_sccl_24/522-0161304-3267341?psc=1,2026-03-24T12:39:40.014688,1,30,True,mid,high
25,B0D9S87H53,"Ambrane Magsafe Wireless 10000Mah Fast Charging USB Type-C Input Power Bank, Strong Magnet, 22.5W Output For iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Blue)",Ambrane,1499.0,INR,4.0,6861,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61H84kDDNFL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Ambrane-Wireless-10000mAh-Charging-Magnetic/dp/B0D9S87H53/ref=zg_bs_g_electronics_d_sccl_25/522-0161304-3267341?psc=1,2026-03-24T12:39:40.015746,1,32,True,mid,high
26,B09BFV96TS,"Dyazo Water Resistant Laptop Sleeve/Laptop case/laptop cover with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey",Dyazo,289.0,INR,4.3,21489,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/81rRMwFG0+L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Dyazo-Resistant-Compatible-laptops-Notebooks/dp/B09BFV96TS/ref=zg_bs_g_electronics_d_sccl_26/522-0161304-3267341?psc=1,2026-03-24T12:39:40.016705,1,21,True,budget,high
27,B0FC2Y3XGV,"Boat Airdopes 219, 4Mics ENx, 40H Battery, Best in Segment for Calling, Stream Ad Free Music via App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Carbon Black)",Boat,999.0,INR,3.8,3802,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/71FOccCOQmL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/boAt-Airdopes-Bluetooth-Wireless-Earphones/dp/B0FC2Y3XGV/ref=zg_bs_g_electronics_d_sccl_27/522-0161304-3267341?psc=1,2026-03-24T12:39:40.017677,1,30,True,mid,high
28,B0F63BY6LT,"Kratos K9 Selfie Stick Tripod With Light, 67 inch /170CM Reinforced Tripod for Mobile Phone, Multi-Functional Bluetooth Long Selfie Stick for Travel,Vlogging,Compatible with iPhone and All Smartphones",Kratos,619.0,INR,,,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/617qw0QPA8L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Kratos-Reinforced-Multi-Functional-Compatible-Smartphones/dp/B0F63BY6LT/ref=zg_bs_g_electronics_d_sccl_28/522-0161304-3267341?psc=1,2026-03-24T12:39:40.018898,1,27,True,mid,
29,B0DB269JKH,"Portronics Clamp M4 Car Phone Holder Stand with 360 Degree Rotation, Strong Grip, Suction Cup Mount, Single Hand Use, Shockproof Build, Mobile Stand for Car (Black)",Portronics,244.0,INR,3.9,17873,Electronics,Electronics,,"https://images-eu.ssl-images-amazon.com/images/I/61--PoBNi4L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Portronics-Holder-Rotation-Suction-Shockproof/dp/B0DB269JKH/ref=zg_bs_g_electronics_d_sccl_29/522-0161304-3267341?psc=1,2026-03-24T12:39:40.019880,1,26,True,budget,high
